2017-3-21 12:23: HTTP server offline.
2017-3-21 12:24: HTTP server offline.
2017-3-21 12:24: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:27: HTTP server offline.
2017-3-21 12:35: HTTP server offline.
2017-3-21 12:35: HTTP server offline.
2017-3-21 12:36: HTTP server offline.
2017-3-21 12:37: HTTP server offline.
2017-3-21 12:37: HTTP server offline.
2017-3-21 12:37: HTTP server offline.
2017-3-21 12:38: HTTP server online.
2017-3-21 12:38: 1828: 127.0.0.1: GET /
2017-3-21 12:38: 1828: 127.0.0.1: 401 Unauthorized
2017-3-21 12:38: 1848: 127.0.0.1: GET /
2017-3-21 12:38: 1848: 127.0.0.1: 200 OK
2017-3-21 12:38: 1828: 127.0.0.1: GET /main.css
2017-3-21 12:38: 1828: 127.0.0.1: 200 OK
2017-3-21 12:38: 1852: 127.0.0.1: GET /Everything.gif
2017-3-21 12:38: 1852: 127.0.0.1: 200 OK
2017-3-21 12:38: 1860: 127.0.0.1: GET /up.gif
2017-3-21 12:38: 1860: 127.0.0.1: 200 OK
2017-3-21 12:38: 1848: 127.0.0.1: GET /folder.gif
2017-3-21 12:38: 1848: 127.0.0.1: 200 OK
2017-3-21 12:38: 1880: 127.0.0.1: GET /favicon.ico
2017-3-21 12:38: 1880: 127.0.0.1: 200 OK
2017-3-21 12:38: 1880: 127.0.0.1: GET /C%3A
2017-3-21 12:38: 1880: 127.0.0.1: 200 OK
2017-3-21 12:38: 1880: 127.0.0.1: GET /updir.gif
2017-3-21 12:38: 1880: 127.0.0.1: 200 OK
2017-3-21 12:38: 1868: 127.0.0.1: GET /file.gif
2017-3-21 12:38: 1868: 127.0.0.1: 200 OK
2017-3-21 12:38: 1828: 127.0.0.1: GET /C%3A?sort=name&ascending=0
2017-3-21 12:38: 1828: 127.0.0.1: 200 OK
2017-3-21 12:38: 1876: 127.0.0.1: GET /down.gif
2017-3-21 12:38: 1876: 127.0.0.1: 200 OK
2017-3-21 12:39: 1876: 127.0.0.1: GET /?search=doc
2017-3-21 12:39: 1876: 127.0.0.1: 200 OK
2017-3-21 12:39: 1860: 127.0.0.1: GET /?search=*.pdf
2017-3-21 12:39: 1860: 127.0.0.1: 200 OK
2017-3-21 12:39: 1868: 127.0.0.1: GET /?search=*.pdf
2017-3-21 12:39: 1868: 127.0.0.1: 200 OK
2017-3-21 12:39: 1868: 127.0.0.1: GET /F%3A/papers/1601.00566.pdf
2017-3-21 12:39: 1868: 127.0.0.1: 200 OK
2017-3-21 12:40: 1868: 192.168.1.111: GET /
2017-3-21 12:40: 1868: 192.168.1.111: 401 Unauthorized
2017-3-21 12:40: 1848: 192.168.1.111: GET /
2017-3-21 12:40: 1848: 192.168.1.111: 200 OK
2017-3-21 12:40: 1844: 192.168.1.111: GET /main.css
2017-3-21 12:40: 1844: 192.168.1.111: 200 OK
2017-3-21 12:40: 1868: 192.168.1.111: GET /Everything.gif
2017-3-21 12:40: 1868: 192.168.1.111: 200 OK
2017-3-21 12:40: 1852: 192.168.1.111: GET /up.gif
2017-3-21 12:40: 1852: 192.168.1.111: 200 OK
2017-3-21 12:40: 1848: 192.168.1.111: GET /folder.gif
2017-3-21 12:40: 1848: 192.168.1.111: 200 OK
2017-3-21 12:40: 1848: 192.168.1.111: GET /favicon.ico
2017-3-21 12:40: 1848: 192.168.1.111: 200 OK
2017-3-21 12:40: 1832: 192.168.1.111: GET /F%3A
2017-3-21 12:40: 1832: 192.168.1.111: 200 OK
2017-3-21 12:40: 1888: 192.168.1.111: GET /updir.gif
2017-3-21 12:40: 1888: 192.168.1.111: 200 OK
2017-3-21 12:40: 1888: 192.168.1.111: GET /?search=yfyf
2017-3-21 12:40: 1888: 192.168.1.111: 200 OK
2017-3-21 12:41: 1832: 192.168.1.111: GET /?search=*.doc
2017-3-21 12:41: 1832: 192.168.1.111: 200 OK
2017-3-21 12:41: 1832: 192.168.1.111: GET /file.gif
2017-3-21 12:41: 1832: 192.168.1.111: 200 OK
2017-3-21 12:41: 1888: 192.168.1.111: GET /?search=*.doc&offset=96
2017-3-21 12:41: 1888: 192.168.1.111: 200 OK
2017-3-21 12:41: HTTP server offline.
